username,age,gender,type_of_consulting,consulting_content,sentiment,the_consultant
kristen03,51,Female,Personal,Relationship advice,0.63,AI
duanemorris,29,Female,Technology,Gadget recommendations,0.87,AI
whitneymoreno,29,Female,Financial,Budgeting and saving,0.05,Human
kathydavis,27,Female,Lifestyle,Home organization hacks,0.95,Human
williamsgarrett,60,Male,Business,Leadership and management,0.47,AI
michelle12,51,Female,Technology,Emerging tech trends,0.98,AI
anthonybonnie,46,Male,Health,Chronic illness management,0.43,Human
oconnorkevin,19,Male,Business,Marketing strategies,0.3,AI
mark85,60,Female,Business,Starting a small business,0.14,AI
andrew37,48,Female,Business,Leadership and management,0.32,AI
vwright,41,Female,Technology,Software development tips,0.54,Human
derrick48,50,Female,Personal,Career coaching,0.88,Human
kimberlyporter,55,Female,Financial,Retirement planning,0.5,Human
evelyncohen,36,Male,Business,Starting a small business,0.52,AI
tara38,62,Male,Lifestyle,Home organization hacks,0.17,AI
jcarter,43,Male,Personal,Career coaching,0.77,Human
kyle67,36,Male,Financial,Investment strategies,0.73,AI
oconnellelizabeth,40,Male,Financial,Investment strategies,0.01,Human
pinedasean,69,Female,Financial,Tax optimization,0.97,AI
czavala,18,Female,Technology,Emerging tech trends,0.85,AI
pnewton,50,Female,Lifestyle,Sustainable living tips,0.71,Human
jesse05,18,Male,Lifestyle,Travel planning,0.93,Human
melissa37,22,Female,Health,Mental wellness,0.65,Human
tbanks,19,Female,Technology,Software development tips,0.58,Human
rbrown,41,Female,Health,Mental wellness,0.9,AI
zdavis,18,Male,Technology,Gadget recommendations,0.09,Human
urush,30,Male,Technology,Software development tips,0.04,Human
weissmelody,68,Female,Lifestyle,Sustainable living tips,0.82,Human
wagnerrobert,49,Female,Financial,Tax optimization,0.31,Human
smartin,59,Female,Lifestyle,Travel planning,0.88,Human
travis72,70,Female,Health,Mental wellness,0.76,AI
xramirez,47,Male,Business,Starting a small business,0.54,AI
yesenia94,34,Male,Financial,Tax optimization,0.33,Human
carpentercaitlin,63,Male,Health,Dietary advice,0.63,Human
tmorgan,64,Female,Health,Exercise routines,0.91,AI
isutton,24,Male,Technology,Software development tips,0.64,Human
johnsmargaret,62,Male,Health,Mental wellness,0.15,Human
kathryn58,23,Male,Health,Dietary advice,1.0,AI
mark81,19,Male,Technology,Emerging tech trends,0.96,AI
jamiegray,30,Female,Lifestyle,Sustainable living tips,0.74,Human
riverajulie,38,Female,Lifestyle,Travel planning,0.88,Human
kevingordon,69,Male,Lifestyle,Travel planning,0.44,AI
justin36,65,Male,Financial,Investment strategies,0.12,Human
jlee,56,Female,Health,Dietary advice,0.93,AI
fgray,38,Female,Lifestyle,Personal development,0.78,Human
beckerthomas,19,Female,Health,Chronic illness management,0.95,AI
annagarner,29,Other,Lifestyle,Home organization hacks,0.52,AI
myerskelly,47,Other,Health,Chronic illness management,0.85,AI
pattonmitchell,25,Female,Health,Mental wellness,0.95,AI
liuamy,58,Other,Lifestyle,Home organization hacks,0.92,Human
morenomorgan,46,Other,Financial,Investment strategies,0.86,AI
cooleylaurie,18,Female,Business,Marketing strategies,0.13,AI
colleenscott,67,Female,Health,Exercise routines,0.71,AI
dvargas,66,Female,Lifestyle,Travel planning,0.93,Human
ogross,28,Male,Financial,Retirement planning,0.81,AI
gadkins,26,Other,Health,Mental wellness,0.11,Human
conwayryan,57,Male,Financial,Retirement planning,0.99,AI
tdavis,62,Female,Personal,Relationship advice,0.92,Human
carolynjohns,54,Female,Health,Exercise routines,0.36,Human
landryrichard,48,Male,Technology,Emerging tech trends,0.51,Human
patrickcathy,29,Male,Technology,Software development tips,0.58,Human
aguirresarah,61,Male,Technology,Emerging tech trends,1.0,AI
jose67,69,Female,Business,Productivity tools,0.68,AI
alan46,47,Female,Technology,Cybersecurity best practices,0.83,AI
jessewalsh,55,Male,Lifestyle,Sustainable living tips,0.86,Human
kaisertravis,56,Male,Business,Productivity tools,0.64,AI
tylershelton,64,Male,Lifestyle,Travel planning,0.46,AI
tscott,33,Female,Technology,Gadget recommendations,0.81,AI
bgarcia,24,Female,Health,Dietary advice,0.41,Human
roberthiggins,27,Female,Personal,Relationship advice,0.7,Human
djenkins,20,Female,Personal,Relationship advice,0.05,AI
kenneth15,20,Female,Technology,Gadget recommendations,0.44,Human
matthewlarson,65,Female,Health,Chronic illness management,0.01,Human
moyerlisa,45,Female,Business,Productivity tools,0.88,Human
sara83,18,Female,Lifestyle,Personal development,0.75,Human
holtkaren,70,Male,Technology,Software development tips,0.8,AI
douglas21,65,Male,Health,Exercise routines,0.98,AI
sandy14,44,Female,Health,Dietary advice,0.93,AI
daniel71,47,Male,Lifestyle,Travel planning,0.61,AI
vanessa79,24,Female,Personal,Life goal planning,0.48,AI
gregory50,18,Female,Technology,Emerging tech trends,0.64,Human
jackmartinez,62,Female,Financial,Investment strategies,0.27,Human
jessicawalker,24,Male,Business,Marketing strategies,0.82,Human
mayala,64,Male,Business,Marketing strategies,0.35,AI
claudiabowman,28,Male,Lifestyle,Sustainable living tips,0.85,Human
james97,27,Female,Business,Leadership and management,0.29,AI
brian16,37,Female,Health,Chronic illness management,0.95,AI
vbarton,25,Female,Health,Mental wellness,0.83,AI
alicia96,64,Female,Lifestyle,Travel planning,0.86,Human
gibsonjames,61,Male,Financial,Tax optimization,0.91,AI
jamie44,38,Male,Business,Leadership and management,0.79,Human
larsonamber,60,Male,Technology,Software development tips,0.39,Human
gregoryalice,68,Male,Business,Leadership and management,0.85,Human
kevin08,48,Female,Lifestyle,Travel planning,0.04,AI
xmurphy,21,Male,Business,Productivity tools,0.63,AI
tgallegos,20,Female,Health,Exercise routines,0.43,Human
xlynn,33,Male,Lifestyle,Travel planning,0.66,AI
patrickyu,62,Male,Financial,Retirement planning,0.99,AI
jefferyrichardson,57,Male,Health,Chronic illness management,0.75,AI
wesley68,43,Female,Financial,Investment strategies,0.33,Human
xpeters,32,Male,Health,Chronic illness management,0.72,AI
bnelson,18,Female,Health,Mental wellness,0.49,Human
hansenloretta,38,Male,Lifestyle,Personal development,0.96,Human
uolson,68,Female,Personal,Stress management techniques,0.28,AI
ijennings,18,Male,Financial,Budgeting and saving,0.95,AI
brandimarshall,67,Male,Technology,Software development tips,0.81,AI
raymondchambers,70,Female,Health,Mental wellness,0.36,Human
benjaminoliver,62,Female,Personal,Relationship advice,0.47,AI
phillipskaren,48,Male,Technology,Software development tips,0.72,AI
megan64,58,Male,Business,Leadership and management,0.89,Human
phyllisgonzalez,24,Female,Lifestyle,Travel planning,0.86,Human
palmermichael,52,Female,Personal,Life goal planning,0.65,AI
leslie87,28,Male,Lifestyle,Home organization hacks,0.95,Human
keith29,67,Male,Lifestyle,Sustainable living tips,0.77,Human
rschmidt,65,Other,Technology,Software development tips,0.4,Human
nicole03,70,Female,Technology,Cybersecurity best practices,0.77,AI
joseph20,26,Other,Technology,Cybersecurity best practices,0.36,Human
latasha63,27,Male,Lifestyle,Home organization hacks,0.87,Human
scott19,47,Other,Technology,Gadget recommendations,0.72,AI
vwhite,23,Female,Technology,Cybersecurity best practices,0.92,AI
christina87,46,Male,Personal,Life goal planning,0.75,Human
maryboyle,37,Male,Technology,Software development tips,0.88,AI
mcintoshrobert,38,Male,Personal,Career coaching,0.9,Human
msmith,31,Male,Health,Dietary advice,0.74,AI
hodgesmary,22,Male,Lifestyle,Home organization hacks,0.46,AI
hufftracy,54,Male,Financial,Budgeting and saving,0.75,AI
regina55,60,Male,Technology,Cybersecurity best practices,0.09,Human
millerkylie,51,Female,Personal,Stress management techniques,0.99,Human
ichapman,63,Female,Personal,Relationship advice,0.28,AI
sferguson,67,Female,Business,Starting a small business,0.21,AI
davidjackson,20,Female,Lifestyle,Personal development,0.2,AI
chloe09,39,Male,Personal,Career coaching,0.77,Human
elizabethpowell,35,Female,Health,Mental wellness,0.66,Human
scott46,41,Female,Lifestyle,Travel planning,0.34,AI
vrodriguez,59,Female,Technology,Software development tips,0.63,Human
msantiago,67,Male,Financial,Retirement planning,0.39,Human
jacksonpamela,42,Male,Technology,Gadget recommendations,0.19,Human
marysmith,54,Male,Business,Leadership and management,0.02,AI
cjohnson,32,Female,Technology,Cybersecurity best practices,0.78,AI
jessica93,54,Male,Health,Mental wellness,0.09,Human
erikalopez,67,Female,Health,Exercise routines,0.71,AI
pooletodd,56,Male,Financial,Investment strategies,0.71,AI
robinsonanita,45,Female,Business,Leadership and management,0.6,AI
liumeghan,32,Female,Business,Starting a small business,0.05,AI
merrittbradley,57,Female,Financial,Tax optimization,0.58,Human
mwells,61,Male,Lifestyle,Personal development,0.47,AI
robert91,40,Male,Health,Mental wellness,0.4,Human
murphycarol,29,Female,Health,Exercise routines,0.22,Human
prattcarol,21,Male,Personal,Stress management techniques,0.82,Human
ibenson,67,Male,Technology,Gadget recommendations,0.82,AI
xbaker,55,Male,Financial,Tax optimization,0.12,Human
lauren78,41,Female,Technology,Software development tips,0.48,Human
alejandro24,65,Male,Personal,Career coaching,0.77,Human
michelecarrillo,26,Male,Lifestyle,Personal development,0.83,Human
churchpatrick,32,Female,Health,Exercise routines,0.93,AI
jeffreybrady,18,Female,Health,Dietary advice,0.94,AI
jessica24,23,Female,Technology,Gadget recommendations,0.04,Human
gordonrobert,53,Male,Financial,Budgeting and saving,0.88,AI
grant06,67,Female,Lifestyle,Personal development,0.89,Human
mcdanielashley,60,Female,Health,Dietary advice,0.71,AI
bmoore,64,Female,Technology,Software development tips,0.76,AI
jroth,55,Female,Technology,Emerging tech trends,0.06,Human
basssamantha,59,Male,Lifestyle,Home organization hacks,0.87,Human
christinaheath,55,Female,Technology,Software development tips,0.72,AI
jonesjulia,25,Female,Business,Leadership and management,0.34,AI
ethancalhoun,20,Female,Financial,Tax optimization,0.78,AI
kimberly94,60,Male,Financial,Investment strategies,0.68,Human
jerry80,31,Male,Lifestyle,Personal development,0.74,Human
rogersangela,20,Female,Financial,Retirement planning,0.78,AI
johnsongeorge,44,Male,Technology,Software development tips,0.22,Human
blakedebra,24,Male,Health,Mental wellness,0.17,Human
morenoronald,51,Male,Financial,Retirement planning,0.81,AI
mitchellmark,38,Female,Technology,Cybersecurity best practices,0.64,Human
brad48,67,Male,Health,Dietary advice,0.68,Human
medinakevin,60,Male,Business,Marketing strategies,0.02,AI
padilladevon,52,Male,Lifestyle,Travel planning,0.36,AI
dmarsh,22,Male,Personal,Career coaching,0.94,Human
dmaldonado,44,Male,Technology,Software development tips,0.79,AI
bblackwell,50,Female,Personal,Stress management techniques,0.1,AI
zmiller,20,Male,Personal,Career coaching,0.84,Human
haysjared,33,Male,Business,Marketing strategies,0.74,Human
mollycollins,66,Female,Personal,Career coaching,0.2,AI
orice,37,Female,Financial,Retirement planning,0.41,Human
travis09,48,Female,Financial,Tax optimization,0.97,AI
paul23,55,Female,Personal,Life goal planning,0.9,Human
wbray,32,Female,Personal,Career coaching,0.5,AI
mariabarnett,30,Male,Personal,Life goal planning,0.24,AI
david76,47,Female,Lifestyle,Sustainable living tips,0.79,Human
mcosta,64,Male,Personal,Career coaching,0.97,Human
ballardfrancisco,40,Male,Personal,Stress management techniques,0.9,Human
harmonbrent,29,Male,Financial,Budgeting and saving,0.71,AI
matthewkrause,57,Female,Lifestyle,Personal development,0.12,AI
samanthahenson,28,Male,Business,Marketing strategies,0.88,Human
stanleymanning,65,Male,Lifestyle,Travel planning,0.57,AI
gregory44,53,Female,Personal,Life goal planning,0.73,Human
kenneth21,33,Male,Personal,Career coaching,0.22,AI
stephendavis,22,Female,Business,Marketing strategies,0.0,AI
tammy28,41,Female,Technology,Gadget recommendations,0.79,AI
alexolson,42,Female,Business,Productivity tools,0.8,Human
william28,24,Female,Business,Productivity tools,0.06,AI
david83,52,Female,Business,Starting a small business,0.34,AI
millerbenjamin,56,Male,Business,Marketing strategies,0.11,AI
charles99,25,Female,Personal,Relationship advice,0.49,AI
lewisjennifer,20,Male,Personal,Relationship advice,0.04,AI
kevinramirez,56,Male,Financial,Budgeting and saving,0.42,Human
janetbutler,55,Female,Personal,Relationship advice,0.7,Human
yromero,62,Male,Health,Chronic illness management,0.58,Human
youngmary,24,Female,Technology,Emerging tech trends,0.03,Human
monica68,50,Male,Financial,Tax optimization,0.14,Human
amyriley,20,Male,Personal,Career coaching,0.57,AI
randy69,18,Female,Personal,Life goal planning,0.87,Human
loribarajas,28,Female,Health,Exercise routines,0.86,AI
michaelburns,22,Male,Business,Leadership and management,0.85,Human
balldaryl,21,Male,Health,Mental wellness,0.86,AI
omeyer,70,Male,Financial,Retirement planning,0.75,AI
vmorris,46,Female,Health,Chronic illness management,0.46,Human
linda24,40,Female,Business,Starting a small business,0.82,Human
grahammeagan,60,Male,Financial,Investment strategies,0.99,AI
sara46,23,Female,Technology,Emerging tech trends,0.79,AI
gabriellawilliams,18,Male,Technology,Emerging tech trends,0.9,AI
smithkristen,41,Male,Lifestyle,Home organization hacks,0.64,AI
hallrhonda,28,Male,Technology,Emerging tech trends,0.09,Human
garzaraymond,68,Female,Technology,Cybersecurity best practices,0.42,Human
stewartjohn,68,Female,Lifestyle,Home organization hacks,0.09,AI
alan21,40,Female,Personal,Life goal planning,0.47,AI
muellerlindsay,32,Male,Personal,Relationship advice,0.09,AI
reginald77,61,Male,Personal,Stress management techniques,0.74,Human
michelleclark,19,Female,Health,Exercise routines,0.63,Human
rothsergio,66,Female,Business,Starting a small business,0.75,Human
keithbush,18,Female,Technology,Gadget recommendations,0.3,Human
pricelisa,29,Female,Lifestyle,Sustainable living tips,0.04,AI
